slot,usdt_usd,binance_open,binance_close,brti_proxy,offset_hat,offset_real,strike_naive,strike_offsetaware,kalshi_result,poly_up_wins,naive_outcome,offsetaware_outcome
2026-06-03 22:00,0.99882,62178.1,63231.99,63139.63,73.37,92.36,62199.99,62199.99,yes,True,split,split
2026-06-03 23:00,0.99878,63232.0,64363.49,64290.56,77.14,72.93,63199.99,63299.99,yes,True,split,split
2026-06-04 00:00,0.99905,64363.49,64399.99,64327.8,61.15,72.19,64399.99,64399.99,no,True,both_win,both_win
2026-06-04 05:00,0.9987,63629.99,63266.0,63140.73,82.72,125.27,63599.99,63699.99,no,False,split,split
2026-06-04 06:00,0.99871,63266.01,62420.0,62388.7,81.61,31.3,63299.99,63299.99,no,False,split,split
2026-06-04 07:00,0.99886,62420.01,62545.99,62479.94,71.16,66.05,62399.99,62499.99,no,True,split,both_win
2026-06-04 08:00,0.99896,62546.0,63766.82,63695.78,65.05,71.04,62499.99,62599.99,yes,True,split,split
2026-06-04 09:00,0.99886,63766.82,64230.0,64122.58,72.69,107.42,63799.99,63799.99,yes,True,split,split
2026-06-04 10:00,0.99906,64230.0,63958.97,63894.63,60.38,64.34,64199.99,64299.99,no,False,split,split
2026-06-04 11:00,0.99893,63958.97,63896.17,63883.33,68.44,12.84,63999.99,63999.99,no,False,split,split
2026-06-04 12:00,0.99898,63896.16,63563.51,63493.59,65.17,69.92,63899.99,63899.99,no,False,split,split
2026-06-04 13:00,0.99872,63563.51,63540.97,63454.3,81.36,86.67,63599.99,63599.99,no,False,split,split
2026-06-04 14:00,0.99885,63540.96,63819.62,63765.68,73.07,53.94,63499.99,63599.99,yes,True,split,split
2026-06-04 15:00,0.99873,63819.62,63629.38,63598.59,81.05,30.79,63799.99,63899.99,no,False,split,split
2026-06-04 16:00,0.99914,63629.38,63638.4,63578.9,54.72,59.5,63749.99,63749.99,no,True,both_win,both_win
2026-06-04 17:00,0.99905,63638.4,63286.21,63232.72,60.46,53.49,63599.99,63699.99,no,False,split,split
2026-06-04 18:00,0.99899,63286.21,63735.43,63692.33,63.92,43.1,63299.99,63299.99,yes,True,split,split
2026-06-04 19:00,0.99887,63735.42,63885.99,63815.34,72.02,70.65,63699.99,63799.99,yes,True,split,split
2026-06-04 20:00,0.99894,63885.99,63426.72,63352.53,67.72,74.19,63899.99,63899.99,no,False,split,split
2026-06-04 21:00,0.99878,63426.73,63374.67,63312.88,77.38,61.79,63399.99,63499.99,no,False,split,split
2026-06-04 22:00,0.99887,63374.67,62617.72,62547.94,71.61,69.78,63399.99,63399.99,no,False,split,split
2026-06-04 23:00,0.99872,62617.72,62730.0,62650.53,80.15,79.47,62599.99,62699.99,no,True,split,both_win
2026-06-05 00:00,0.99883,62730.0,63615.23,63544.52,73.39,70.71,62699.99,62799.99,yes,True,split,split
2026-06-05 01:00,0.99892,63615.22,62329.35,62269.21,68.7,60.14,63599.99,63699.99,no,False,split,split
2026-06-05 02:00,0.99889,62329.36,61946.57,61868.44,69.19,78.13,62299.99,62399.99,no,False,split,split
2026-06-05 03:00,0.99901,61946.57,63115.99,63002.09,61.33,113.9,61899.99,61999.99,yes,True,split,split
2026-06-05 04:00,0.99899,63115.99,62454.64,62408.8,63.75,45.84,63099.99,63199.99,no,False,split,split
2026-06-05 05:00,0.99895,62454.64,62860.09,62806.88,65.58,53.21,62499.99,62499.99,yes,True,split,split
2026-06-05 06:00,0.99915,62860.09,62536.87,62503.25,53.43,33.62,62899.99,62899.99,no,False,split,split
2026-06-05 07:00,0.99899,62536.87,61964.99,61946.99,63.16,18.0,62499.99,62599.99,no,False,split,split
2026-06-05 08:00,0.99903,61964.99,61959.73,61917.81,60.11,41.92,61999.99,61999.99,no,False,split,split
2026-06-05 09:00,0.9991,61959.72,60732.36,60715.38,55.76,16.98,61999.99,61999.99,no,False,split,split
2026-06-05 10:00,0.99934,60732.36,60868.97,60838.44,40.08,30.53,60699.99,60799.99,yes,True,split,split
2026-06-05 11:00,0.99925,60868.98,60438.01,60438.4,45.65,-0.39,60899.99,60899.99,no,False,split,split
2026-06-05 12:00,0.99932,60438.0,61394.39,61389.54,41.1,4.85,60399.99,60499.99,yes,True,split,split
2026-06-05 13:00,0.99934,61394.38,60813.99,60750.02,40.52,63.97,61399.99,61399.99,no,False,split,split
2026-06-05 14:00,0.99934,60814.0,59395.99,59366.86,40.14,29.13,60799.99,60899.99,no,False,split,split
2026-06-05 15:00,0.99938,59396.0,60300.24,60340.2,36.83,-39.96,59399.99,59399.99,yes,True,split,split
2026-06-05 16:00,0.9996,60300.24,61620.01,61638.06,24.12,-18.05,60249.99,60499.99,yes,True,split,split
2026-06-05 17:00,0.99955,61620.01,61670.38,61658.1,27.73,12.28,61599.99,61699.99,no,True,split,both_win
2026-06-05 18:00,0.99966,61670.38,61584.49,61584.39,20.97,0.1,61699.99,61699.99,no,False,split,split
2026-06-05 19:00,0.99968,61584.49,61056.47,60967.28,19.71,89.19,61599.99,61599.99,no,False,split,split
2026-06-05 20:00,0.99966,61056.47,61273.29,61266.3,20.76,6.99,61099.99,61099.99,yes,True,split,split
2026-06-05 21:00,0.99974,61273.29,61058.95,61074.46,15.93,-15.51,61299.99,61299.99,no,False,split,split
2026-06-05 22:00,0.99968,61058.95,60951.64,60954.07,19.54,-2.43,61099.99,61099.99,no,False,split,split
2026-06-05 23:00,0.99966,60951.63,60687.04,60670.3,20.72,16.74,60999.99,60999.99,no,False,split,split
2026-06-06 00:00,0.99968,60687.05,60101.27,60080.82,19.42,20.45,60699.99,60699.99,no,False,split,split
2026-06-06 01:00,0.99951,60101.28,60942.38,60930.92,29.45,11.46,60099.99,60199.99,yes,True,split,split
2026-06-06 02:00,0.99947,60942.37,60786.96,60745.1,32.3,41.86,60899.99,60999.99,no,False,split,split
2026-06-06 03:00,0.99947,60786.96,61004.95,60972.98,32.22,31.97,60799.99,60799.99,yes,True,split,split
2026-06-06 04:00,0.99959,61004.95,61264.0,61244.72,25.01,19.28,60999.99,61099.99,yes,True,split,split
2026-06-06 05:00,0.99943,61264.0,60981.24,60949.89,34.92,31.35,61299.99,61299.99,no,False,split,split
2026-06-06 06:00,0.99949,60981.24,60593.0,60548.21,31.1,44.79,60999.99,60999.99,no,False,split,split
2026-06-06 07:00,0.99947,60593.0,60802.91,60759.07,32.11,43.84,60599.99,60599.99,yes,True,split,split
2026-06-06 08:00,0.9995,60802.9,61030.63,61003.73,30.4,26.9,60799.99,60899.99,yes,True,split,split
2026-06-06 09:00,0.99953,61030.63,60801.2,60789.64,28.68,11.56,60999.99,61099.99,no,False,split,split
2026-06-06 10:00,0.99947,60801.2,60791.05,60780.19,32.22,10.86,60799.99,60899.99,no,False,split,split
2026-06-06 11:00,0.99954,60791.06,60784.0,60775.32,27.96,8.68,60799.99,60799.99,no,False,split,split
2026-06-06 12:00,0.99951,60784.01,60774.0,60737.27,29.78,36.73,60799.99,60799.99,no,False,split,split
2026-06-06 13:00,0.9996,60774.0,60576.2,60560.46,24.31,15.74,60799.99,60799.99,no,False,split,split
2026-06-06 14:00,0.9995,60576.19,60637.21,60616.98,30.29,20.23,60599.99,60599.99,yes,True,split,split
2026-06-06 15:00,0.99952,60637.2,60600.01,60575.84,29.11,24.17,60599.99,60699.99,no,False,split,split
2026-06-06 16:00,0.9995,60600.0,60711.69,60691.66,30.3,20.03,60499.99,60749.99,no,True,split,both_win
2026-06-06 17:00,0.99952,60711.69,60751.21,60730.06,29.14,21.15,60699.99,60799.99,no,True,split,both_win
2026-06-06 18:00,0.9995,60751.22,60543.53,60584.16,30.38,-40.63,60799.99,60799.99,no,False,split,split
2026-06-06 19:00,0.99951,60543.52,60884.62,60861.15,29.67,23.47,60499.99,60599.99,yes,True,split,split
